ID_Terreno,Nodos,Superficie (m²),Precio (€)
55229322-9174-4448-aadc-5ab0e8f0414f,"[[40.520874, -3.610398], [40.383694, -3.7265449999999998], [40.333522, -3.627103], [40.582209, -3.658156]]",1632,204530
6745b807-8f10-4a44-8ced-b83871a1ba8c,"[[40.523691, -3.637485], [40.321758, -3.771067], [40.456317, -3.578836], [40.634337, -3.8104009999999997]]",3507,281418
0521307b-9c75-49bc-9faa-c1bc263686af,"[[40.513635, -3.846401], [40.584823, -3.745978], [40.434471, -3.583164], [40.40933, -3.875791]]",2532,119525
f254258c-cc86-45ea-a953-c3f5adee4787,"[[40.354323, -3.5612589999999997], [40.578702, -3.845424], [40.489117, -3.701584], [40.438816, -3.749452]]",4712,369169
4be60904-4dfd-4475-9284-00635c67abd7,"[[40.339148, -3.706902], [40.440421, -3.680094], [40.411163, -3.699307], [40.610785, -3.772635]]",4554,214653
3c149b59-60d3-4948-9ef8-c42d1a7e6667,"[[40.560851, -3.676546], [40.567091, -3.817356], [40.543704, -3.573263], [40.341904, -3.616726]]",4567,481964
8ff8adb4-1f74-4277-ad2f-4e5ad0e2ba51,"[[40.593059, -3.629323], [40.325491, -3.8254200000000003], [40.551542, -3.829971], [40.462403, -3.758642]]",1711,143771
90442155-7d78-4bb5-8459-7374c2497727,"[[40.472542, -3.7963500000000003], [40.441128, -3.658244], [40.473171, -3.792198], [40.585107, -3.847488]]",4154,383438
f11d0867-3028-40e2-83ff-97a7da87a880,"[[40.558513, -3.75168], [40.63989, -3.771283], [40.394872, -3.632753], [40.479331, -3.708227]]",3206,451329
f52d3524-a419-4609-9923-5ab91d670e70,"[[40.398152, -3.757375], [40.356438, -3.663341], [40.41825, -3.8019309999999997], [40.503898, -3.611196]]",4577,221048
6aae129b-72f5-45ff-b0d1-785c12538a7b,"[[40.457376, -3.863485], [40.443929, -3.771184], [40.479636, -3.862243], [40.389453, -3.716522]]",3139,87231
94ce8195-3d7b-454e-82cd-e9c1907dce8a,"[[40.325591, -3.568698], [40.33378, -3.7151], [40.577859, -3.714998], [40.316346, -3.5607569999999997]]",4358,349110
e67ff243-05cb-486e-8879-69b039b83bf5,"[[40.347735, -3.8452200000000003], [40.372861, -3.6833549999999997], [40.463355, -3.75376], [40.508024, -3.619843]]",3860,499410
3b64eb60-dd5f-4540-a88d-4054790251ae,"[[40.420063999999996, -3.877731], [40.369195, -3.734694], [40.506646, -3.819788], [40.470267, -3.6430249999999997]]",3086,185285
dffbcc8e-c0a2-4e48-9807-0fbde3f7c923,"[[40.555321, -3.641841], [40.552548, -3.604077], [40.62249, -3.77495], [40.537188, -3.735311]]",2568,148974
17d3e774-5978-459c-bd75-deab6c042d3a,"[[40.565866, -3.670823], [40.549981, -3.730571], [40.42039, -3.8033580000000002], [40.324367, -3.626365]]",3849,464752
b34bfde1-c5fe-4dc3-99bb-2ffa6ee281e4,"[[40.329674, -3.8594600000000003], [40.606453, -3.850499], [40.413208, -3.853387], [40.6044, -3.640865]]",813,474701
89945791-45ee-40fb-a2f0-260f06e16213,"[[40.390707, -3.692564], [40.522809, -3.704779], [40.535485, -3.66553], [40.522301, -3.747245]]",1535,157020
a4ecbed5-54a8-4680-997b-f32c0034f573,"[[40.527969, -3.887961], [40.413273, -3.607634], [40.399155, -3.86131], [40.417733, -3.685205]]",1389,354443
6d767703-de11-456b-9b83-66da385fa456,"[[40.45123, -3.667764], [40.378729, -3.7767239999999997], [40.356629, -3.668291], [40.58401, -3.852857]]",3356,351753
4da9ced7-008a-4412-817f-7a7fa59f023d,"[[40.453228, -3.756147], [40.458428, -3.760607], [40.633953, -3.602294], [40.508232, -3.800858]]",4315,200119
1d4cfc71-b83f-46cc-90f0-2418d9ede039,"[[40.546871, -3.819261], [40.322412, -3.563606], [40.376882, -3.670086], [40.368353, -3.837338]]",1104,146255
e4aafbb6-5bb0-48b2-8191-7eb481ca7022,"[[40.602402, -3.877071], [40.63602, -3.585078], [40.635713, -3.606824], [40.560866, -3.673399]]",1860,209606
3f801f70-a6bb-4c38-a2c4-9c085a83aefc,"[[40.421392, -3.788863], [40.500454, -3.610374], [40.414795, -3.8251109999999997], [40.587614, -3.791693]]",1958,162722
d2ff1ede-f2f0-4a04-8cd2-5a992fb943f6,"[[40.554821, -3.829567], [40.562005, -3.594925], [40.514147, -3.575235], [40.464148, -3.656415]]",3509,293187
e379703c-7d59-4d10-91bf-54e3bb9e7c1a,"[[40.571547, -3.609351], [40.529363000000004, -3.743951], [40.588853, -3.6098369999999997], [40.372545, -3.606567]]",3847,346929
14e486c3-8d4d-4bce-8891-919b9880d88d,"[[40.498511, -3.874583], [40.333814, -3.627968], [40.570327, -3.81546], [40.413048, -3.672014]]",1100,207225
b5ecce1e-d87e-4079-b91f-89e2ab174bce,"[[40.405527, -3.607235], [40.554935, -3.691783], [40.483612, -3.603106], [40.637255, -3.746361]]",4370,131907
16d6c300-d6ab-4839-8eae-26e231d6516a,"[[40.419403, -3.684038], [40.327092, -3.714553], [40.330885, -3.563231], [40.488707, -3.715318]]",4818,376419
120e94e6-ab64-480c-a67b-9a3587a00ba1,"[[40.424289, -3.7759929999999997], [40.411159, -3.647574], [40.570094, -3.717159], [40.484401, -3.829003]]",555,380903
8c1fb1b5-1926-48c0-940e-a587a5f78842,"[[40.351267, -3.671131], [40.598910000000004, -3.856343], [40.364309, -3.847178], [40.374585, -3.649311]]",1577,188369
2ad19d09-f7f7-4f7b-ac32-944812a5666d,"[[40.396128, -3.848993], [40.632708, -3.840839], [40.503223, -3.841383], [40.641303, -3.790025]]",4583,308371
5bf86777-ab4a-4f13-acfd-f262c89171ac,"[[40.525411, -3.588167], [40.366678, -3.638899], [40.424781, -3.597153], [40.460577, -3.67929]]",1911,179660
e24043a0-f2c6-4fa0-8cae-d9ce685e0ac2,"[[40.423878, -3.813743], [40.50899, -3.847375], [40.633915, -3.7896289999999997], [40.38621, -3.851727]]",4290,424813
3694ec75-ed1a-4d84-9ba7-097c0f103b88,"[[40.420301, -3.72844], [40.455023, -3.884152], [40.469549, -3.62628], [40.449736, -3.832464]]",1634,245740
dfc1e023-ec97-4a58-a007-ae73c3da8612,"[[40.452357, -3.8541819999999998], [40.541053, -3.840941], [40.555339000000004, -3.715313], [40.595779, -3.581328]]",2557,420969
18b03495-7ce2-42e6-abb1-ce58773ceffe,"[[40.344316, -3.706234], [40.636578, -3.677565], [40.603552, -3.690242], [40.581398, -3.786836]]",2723,290427
4d84abc4-cb8b-4b4e-8270-41e3d3bc4e41,"[[40.344575, -3.5710990000000002], [40.375284, -3.58211], [40.338443, -3.6634409999999997], [40.506307, -3.582871]]",4956,399211
1a313c27-dc35-447e-b170-df468fffe3e5,"[[40.535422, -3.69478], [40.477674, -3.63503], [40.501378, -3.815247], [40.313781, -3.574629]]",514,165296
9eb41cb5-813d-4dab-9ec3-2cefc76c4398,"[[40.462426, -3.766946], [40.56308, -3.774467], [40.55387, -3.67362], [40.545582, -3.612013]]",2309,300293
b1a296b5-317d-47fb-a448-f3dc661b1fcb,"[[40.500718, -3.614339], [40.46328, -3.838211], [40.395697, -3.863309], [40.393035, -3.874624]]",2062,401527
00421fb7-63e5-4a98-8c44-0d93a61c9aa3,"[[40.523727, -3.685835], [40.37417, -3.645697], [40.326581, -3.61211], [40.3985, -3.802275]]",4231,352633
c6c35926-db07-4f71-9d9f-3471a784c56d,"[[40.511999, -3.805994], [40.357139, -3.79915], [40.336299, -3.641032], [40.392137, -3.744116]]",2640,437732
3d3da5ce-a1cb-4627-a4b0-a5de6acfa661,"[[40.531483, -3.685871], [40.412128, -3.722309], [40.626334, -3.864121], [40.546653, -3.812535]]",3362,265744
9686ae92-00c1-4f9f-99cb-47c27cb62e1f,"[[40.361971, -3.835854], [40.587397, -3.693651], [40.580812, -3.760436], [40.622139, -3.872301]]",2714,119223
5db7b2a3-6abc-439b-a149-fcc25f955110,"[[40.615293, -3.757341], [40.502729, -3.672913], [40.463512, -3.700113], [40.318072, -3.641324]]",3079,469675
4ec0d196-12b2-4a6e-a550-8ce7dca3c5de,"[[40.430495, -3.6310279999999997], [40.368294, -3.776056], [40.428921, -3.747112], [40.547522, -3.86341]]",2140,129444
c35e9266-0704-4cd6-a7ce-f2207ddc552d,"[[40.57914, -3.745024], [40.602364, -3.714039], [40.514854, -3.660284], [40.510453, -3.637696]]",1851,190556
7ccb0a76-4116-4c9f-a707-80604395a878,"[[40.31202, -3.755758], [40.473042, -3.771041], [40.37478, -3.713743], [40.464966, -3.748288]]",1924,458235
60ddf077-06e2-4b50-bfbf-6fac193316db,"[[40.440445, -3.782288], [40.355365, -3.7802379999999998], [40.60108, -3.766198], [40.375974, -3.6360989999999997]]",2232,169901
5cfe4690-6c70-498b-ac87-f9c420227d90,"[[40.322766, -3.572623], [40.459196, -3.83265], [40.360018, -3.746079], [40.48429, -3.709071]]",3316,243110
cb9ee11e-39c2-4d04-8b03-49027942d1cf,"[[40.312893, -3.780585], [40.362163, -3.834946], [40.424999, -3.709421], [40.588615, -3.857157]]",3038,53576
8a0ed12b-51a6-4179-b883-175cb694a7a3,"[[40.476503, -3.7121139999999997], [40.586562, -3.847375], [40.440845, -3.7595989999999997], [40.496168, -3.790395]]",694,398701
42884a3a-81cb-4b4b-b301-ef4784aaff26,"[[40.547323, -3.628992], [40.453922, -3.746349], [40.446787, -3.8650789999999997], [40.312122, -3.574648]]",526,215192
ae788d9c-e41f-4f87-aa59-29c8db2215c3,"[[40.344832, -3.885293], [40.618511, -3.704427], [40.31988, -3.703647], [40.429938, -3.6295159999999997]]",3069,90374
ba9f2a43-5fee-4915-84b3-7b6ff7a90129,"[[40.555575, -3.837522], [40.444982, -3.793425], [40.505091, -3.64198], [40.580133000000004, -3.5649189999999997]]",4160,298684
1366897f-8cb2-4871-bd03-bdb2d0e9e7da,"[[40.550085, -3.770288], [40.370091, -3.6341900000000003], [40.446814, -3.613857], [40.420729, -3.720001]]",3751,388037
4132fd28-b771-4ad8-9aea-8f12df3c4bf8,"[[40.545178, -3.841185], [40.608345, -3.796054], [40.370398, -3.791257], [40.614211, -3.711871]]",1205,126386
8599e015-4651-4448-b1d3-35aef839bba8,"[[40.41628, -3.575037], [40.557511, -3.727203], [40.513904, -3.632457], [40.392635, -3.658365]]",2228,375293
f0f79b96-4909-417b-9587-fa0872cae43f,"[[40.531036, -3.583989], [40.38314, -3.621226], [40.640237, -3.664303], [40.581449, -3.869081]]",1394,321241
baadbec9-bbf1-4a1d-8827-6dbbe018c690,"[[40.422805, -3.805888], [40.453481, -3.850324], [40.319593, -3.586317], [40.475659, -3.839847]]",2554,293310
c9fca1b3-3527-4780-9a84-2aa371aa69c2,"[[40.394551, -3.785655], [40.438209, -3.813272], [40.575979, -3.7898259999999997], [40.44021, -3.779426]]",2270,292247
9d1a52a9-e890-4f60-a2cb-27bb2bb90725,"[[40.426513, -3.6699450000000002], [40.473932, -3.578925], [40.40502, -3.7789159999999997], [40.56393, -3.607716]]",3259,440922
