ID_Vivienda,Coordenadas,Fecha_Compra,Fecha_Venta,Precio_Compra (€),Precio_Venta (€),Superficie (m²),Habitaciones,Baños,Tipo,Distrito
e203ffb2-99b6-48fe-ab99-058731ab9a6c,"40.526989, -3.605766",2017-05-23,2022-03-29,132091,688163,124,2,1,Apartamento,Retiro
b391a7de-541e-499d-8f44-bebf09c797fb,"40.540637, -3.62178",2018-12-26,2023-08-04,381315,645851,42,5,2,Piso,Ciudad Lineal
d20ddb94-e946-410e-8d5a-7fe0cbaa7b48,"40.577601, -3.583151",2016-05-10,2021-02-04,393926,813308,60,4,3,Chalet,Moratalaz
91f21fdb-1a7d-4427-b1d8-edaa46f0b0eb,"40.545789, -3.587452",2017-05-26,2023-02-18,691005,560826,141,5,2,Apartamento,Carabanchel
f0a9c6de-4989-4f4f-bc93-66acce7e9dae,"40.490095, -3.58611",2016-09-30,2021-02-10,469794,741481,53,2,1,Ático,Tetuán
3c6a8165-1864-4c9a-b2fa-8f37d6a21307,"40.365324, -3.674434",2017-10-03,2022-09-22,151246,400455,131,1,1,Apartamento,Latina
e1bee14c-9340-4f22-bd23-e475e79ef924,"40.447027, -3.692258",2017-07-06,2024-05-23,696114,403894,174,3,3,Piso,Retiro
95ac46e6-26ec-4a83-a2f0-cc63be43242c,"40.333592, -3.825605",2018-05-02,2023-04-19,313077,839193,125,2,2,Piso,Arganzuela
93cd3918-c8f5-4fbd-b457-f5e431cbfc86,"40.627294, -3.567416",2018-11-09,2022-06-14,836583,395236,92,1,2,Apartamento,Villa de Vallecas
fc3d4be9-64b3-4433-9cc2-556d0d61f78e,"40.350357, -3.831699",2017-02-03,2024-10-05,551798,396818,142,3,2,Ático,Carabanchel
6925f51c-acb3-4e95-81a7-dda04511de00,"40.454564, -3.822193",2016-04-18,2024-09-11,521177,733264,36,5,3,Chalet,Centro
9c58fec6-9098-4da5-8919-ae869f46653c,"40.352251, -3.875229",2015-10-28,2021-02-21,122085,119718,32,5,3,Apartamento,Latina
d94c8ae2-d2cf-4ddf-841a-c6a3ccfb4d89,"40.619508, -3.881956",2016-04-26,2021-02-24,964170,666790,120,1,1,Chalet,Arganzuela
64825ab1-c5c2-4034-99a1-c3722cdfa9c1,"40.378483, -3.686205",2016-12-26,2024-02-13,581799,375893,161,3,2,Piso,Latina
a5945936-4ea4-4542-a025-4007a0b6779f,"40.54617, -3.825705",2018-01-29,2022-12-07,750103,202000,43,1,2,Chalet,Arganzuela
d738a0e8-6a4e-4b1c-80b6-df6af8bfd0f5,"40.444888, -3.611663",2018-11-06,2021-06-09,347540,403003,141,5,3,Dúplex,Ciudad Lineal
a0fba8f7-ac5e-4de2-96fc-b6727866f690,"40.61605, -3.693265",2016-04-13,2022-05-07,591320,886957,199,2,1,Chalet,Puente de Vallecas
793c6ffd-12ae-4f05-96ef-b1b48b99c8a7,"40.628061, -3.601453",2015-06-05,2024-11-30,594146,502240,103,5,1,Chalet,Barajas
debb6882-f9c6-496e-b14f-e1b78ed7ab0c,"40.436866, -3.866609",2014-12-13,2024-09-24,893185,214932,47,3,1,Piso,Puente de Vallecas
79559886-9ed7-4aaf-8351-cb9d5dcb1f9d,"40.556718, -3.867746",2016-11-05,2023-09-08,783245,896055,119,2,1,Ático,Salamanca
3462e925-a7bd-41b7-a6ed-be66008df296,"40.312052, -3.834778",2015-08-06,2020-10-27,160144,608316,49,3,3,Ático,Chamartín
963a8a74-fb4a-40ff-8df4-df818ede89b7,"40.595367, -3.762904",2018-12-20,2023-06-13,971977,634165,93,5,2,Dúplex,Hortaleza
a09ddf2e-6411-4902-abfb-cdd848661c92,"40.542987, -3.701555",2016-02-24,2021-02-19,506403,519793,128,5,1,Chalet,Villa de Vallecas
e25b8446-f117-4b26-9dc1-0fb1053a963e,"40.498127, -3.731672",2017-06-28,2023-04-12,607229,516515,156,4,3,Dúplex,San Blas-Canillejas
7e9bb473-82d0-4f13-b153-e355735e107c,"40.371898, -3.580197",2018-11-01,2022-09-09,919989,966982,105,3,1,Piso,Villaverde
6c889560-73c9-41f5-beba-09d94642c1e7,"40.516895, -3.614664",2016-01-09,2021-09-25,228861,106400,191,1,1,Ático,Chamartín
c85ea55c-390b-45d2-810e-3ab40d66e976,"40.523483, -3.679647",2017-11-21,2023-07-31,632186,700528,131,2,1,Chalet,Tetuán
902e5f61-c939-4870-93b8-c4649fcb789a,"40.375248, -3.875396",2017-02-16,2023-03-01,116901,939446,185,2,3,Chalet,Villaverde
0a29088e-0887-46f3-a7d1-07fd6b616a6d,"40.46626, -3.653851",2016-10-14,2022-10-28,635252,820004,92,4,1,Dúplex,Retiro
b03d3811-7e15-4127-92c0-bf9db7e886fc,"40.398104, -3.58903",2016-10-11,2024-01-17,793561,953567,58,5,2,Chalet,Moratalaz
4b489c4c-e1e5-4ca5-87c9-7868a7762ff3,"40.476881, -3.616745",2015-07-18,2023-10-27,804718,574706,179,1,3,Chalet,Usera
c3330468-463a-4aa4-a7d4-c0250fdfa0fd,"40.575032, -3.671472",2019-10-14,2021-03-29,975761,780120,34,2,3,Chalet,Fuencarral-El Pardo
6d20e774-cd53-4f13-9bc2-93a045a65de1,"40.412761, -3.700738",2016-07-03,2021-08-27,156733,809499,64,1,3,Ático,Villa de Vallecas
28e5da00-49e8-4f3a-bdf0-3724ac2be05e,"40.40976, -3.806035",2018-08-28,2024-09-18,774992,966783,87,1,3,Apartamento,Arganzuela
c88e0ed4-895e-4819-b2f9-7cd5e194225b,"40.62318, -3.733948",2018-05-13,2024-06-19,233080,607623,79,2,1,Piso,Ciudad Lineal
cf3dcc7c-adb3-49dd-af2b-7bcedd3d44d6,"40.557684, -3.619617",2016-03-10,2023-01-06,742509,683306,68,1,1,Piso,Vicálvaro
f0893c2d-4d88-493d-88b3-2bf11548c809,"40.569875, -3.725866",2019-05-28,2022-07-08,817916,950575,168,3,2,Piso,Puente de Vallecas
858a31da-f760-4029-a1d5-533f2ad756cc,"40.637118, -3.745689",2017-10-26,2020-05-06,820439,415042,93,3,2,Apartamento,Centro
3957aed1-5bc2-4fa4-b16b-f9211a33e533,"40.398258, -3.751611",2018-06-05,2024-01-05,146503,166450,192,1,1,Chalet,Tetuán
4116c8c2-3d91-4665-bea0-093a3e185f1c,"40.469377, -3.74704",2017-01-03,2023-11-29,257378,170686,82,2,3,Apartamento,Hortaleza
8c409fbe-7aa4-42e4-8262-80858029bf6b,"40.571436, -3.8268",2017-06-28,2021-01-24,733565,987839,191,2,2,Apartamento,Chamartín
ccb5eb3b-f29b-411f-82d2-b441c2358b52,"40.331722, -3.684179",2015-11-03,2022-09-19,276572,602016,116,5,1,Ático,Latina
4c5bc6b1-d8a1-4131-a8a6-c3391d6672c2,"40.531078, -3.788694",2015-12-29,2024-05-21,224862,747463,67,2,1,Dúplex,Usera
89545b80-1ef7-4884-a1ba-6d811f209263,"40.556789, -3.686116",2017-06-26,2021-04-09,103516,648598,143,4,1,Chalet,Hortaleza
8b83d102-6cb1-4cf9-80f7-10e90292e94a,"40.615999, -3.56601",2015-08-02,2024-01-04,590955,360022,149,4,3,Ático,Salamanca
6d6454bd-0de3-4319-a6bf-e608336dc2ca,"40.633132, -3.711113",2015-02-26,2024-06-15,126373,479290,110,5,3,Piso,Puente de Vallecas
620c2f2c-a465-49e8-b766-733065e65468,"40.378276, -3.746535",2018-07-06,2022-04-04,558411,495766,32,1,1,Apartamento,Puente de Vallecas
48de019c-d17e-45d9-9552-8ce8e9e4980b,"40.576193, -3.829895",2017-01-27,2022-04-19,150779,771718,66,1,1,Apartamento,Vicálvaro
ff181d7c-a025-40e0-9178-afaf76c24eae,"40.373663, -3.719202",2019-06-17,2021-05-07,961854,258274,167,5,2,Chalet,Ciudad Lineal
910ac782-d68e-4e37-84b0-24b7ce342670,"40.477996, -3.601591",2018-07-09,2024-07-01,801611,464589,65,2,2,Dúplex,San Blas-Canillejas
9e698126-2fe1-4224-a11f-3e451d955a51,"40.554803, -3.760361",2018-08-17,2021-07-27,819362,761842,52,2,2,Ático,Chamartín
6004e987-c562-4d84-9ebc-b492d1b68c49,"40.388688, -3.875126",2016-05-27,2023-03-10,215897,445762,113,2,1,Chalet,Centro
cad629ca-8cc9-422b-ac47-6b15039c6522,"40.375656, -3.826719",2016-01-05,2020-05-30,132616,346200,160,3,3,Apartamento,San Blas-Canillejas
7db11fff-7ccb-4aad-9712-d498cc79aaad,"40.571225, -3.79465",2015-03-13,2021-03-30,606001,906593,50,5,2,Chalet,Ciudad Lineal
7912b87d-8def-4d6b-b5b4-7d2c23fcf6c6,"40.321344, -3.568904",2016-09-10,2023-05-09,791462,896492,117,2,1,Ático,Hortaleza
6d978839-d787-4120-a6cf-53ae8f495a29,"40.318938, -3.740403",2017-02-17,2023-05-01,256391,478384,63,4,2,Dúplex,Fuencarral-El Pardo
438eef17-6b0a-476e-bd0f-31cdfafe7c41,"40.331677, -3.841012",2016-12-01,2020-12-29,170018,385999,95,4,3,Piso,Villa de Vallecas
053648de-3f49-404c-a3f1-59bdb67a1271,"40.466888, -3.618499",2017-12-02,2021-07-24,144022,630786,113,2,2,Ático,Fuencarral-El Pardo
4a216a53-03ee-4bd9-9829-d40523d6d9a5,"40.478611, -3.639917",2016-09-26,2021-11-26,775786,563264,164,5,1,Chalet,Arganzuela
74eda0b0-8d50-4860-9c43-c945793d65b4,"40.476389, -3.772157",2018-06-22,2020-07-27,236616,423708,152,2,3,Dúplex,Moncloa-Aravaca
024c3fa7-ef31-41a5-831d-453a235b1dc3,"40.501948, -3.6038",2018-09-29,2021-12-25,292228,713974,54,5,1,Apartamento,Moratalaz
04f2ea0c-d7ad-4339-a960-21eee8e35fec,"40.400977, -3.68506",2019-03-07,2020-06-24,561541,208374,107,3,3,Chalet,Latina
92300114-dcf3-42c3-a5b2-de6a57c78761,"40.359612, -3.768775",2015-12-08,2021-01-31,896274,878740,56,4,3,Apartamento,Usera
d27225fb-845c-4b84-a3e0-60ae132738b0,"40.511417, -3.783395",2016-11-17,2022-11-15,451891,152827,37,4,3,Dúplex,Moncloa-Aravaca
64d9dfa8-e9d4-4abe-b4e1-939c32c9730e,"40.317494, -3.729294",2018-10-11,2020-03-15,220102,444452,106,2,2,Dúplex,Retiro
4f42f23c-fc8e-4d1a-92bc-761c37ccff86,"40.544732, -3.709259",2018-01-10,2023-12-06,774020,911775,98,2,2,Chalet,Tetuán
2402aed1-27d2-4329-bfc7-29e192a52ecb,"40.592003, -3.661842",2015-02-14,2022-03-25,652436,628785,193,4,3,Dúplex,Villaverde
5ff0e827-c765-49fa-93e5-7b137f92558c,"40.616159, -3.631449",2015-03-27,2023-12-06,221241,293444,188,5,3,Apartamento,Retiro
c4a728d4-935d-4b10-9d55-708e0f054e01,"40.539486, -3.795437",2015-09-03,2021-11-07,518251,314087,151,4,2,Piso,Chamartín
e68dcb29-07a5-4c43-ac2c-5fa81e026d51,"40.633795, -3.869869",2018-03-17,2021-04-18,689695,699583,183,3,1,Piso,Vicálvaro
3e423631-bbe2-4c55-abaf-2e659adb306c,"40.53348, -3.612884",2015-08-16,2022-07-28,622696,110108,87,5,2,Piso,San Blas-Canillejas
b1834937-b7d7-4bfc-ac09-7acb5d881c1b,"40.589613, -3.837855",2015-03-05,2021-05-25,384374,641821,61,2,1,Ático,Retiro
197666ed-a025-416d-9644-842139318f01,"40.447831, -3.760345",2016-06-28,2022-12-09,553507,741073,99,4,3,Ático,Centro
83fc46b7-2377-4075-b32f-bcb6d88733f5,"40.420257, -3.680044",2018-09-14,2020-09-23,215807,940845,73,3,1,Piso,Puente de Vallecas
01f7e7d2-d4b1-4bc3-8a60-06498be640ce,"40.363074, -3.827414",2016-12-18,2023-01-29,686877,119331,57,4,2,Dúplex,Villaverde
9ccc3895-ac10-47c4-9e9c-572a7130147a,"40.372145, -3.790224",2014-12-03,2021-01-26,316440,314236,104,4,3,Dúplex,Villaverde
99ebdb46-be80-49f9-be63-bb71a5703e11,"40.558595, -3.847974",2017-07-19,2019-12-21,482862,839632,118,3,2,Chalet,Barajas
0b9c6904-4fb8-4df4-8ded-2348616da69f,"40.619716, -3.583837",2016-11-13,2024-11-01,372962,590142,37,5,2,Chalet,Latina
851ed63e-e5f6-4ced-a92b-0d676bbda94e,"40.40502, -3.778916",2016-08-15,2020-03-22,757752,879247,102,2,2,Piso,Moratalaz
eb67e010-9e5a-40e4-bdac-7774285fcf45,"40.468411, -3.635466",2015-09-01,2020-02-24,199859,804681,44,5,1,Chalet,Barajas
7506085d-2942-4280-a436-1cd4e7f5e07c,"40.562359, -3.634156",2016-06-02,2022-12-14,206986,706937,131,5,1,Piso,Moratalaz
8b988957-2c9e-4199-9043-4b965e6c71a9,"40.53775, -3.588859",2016-01-23,2023-03-02,347986,951151,79,3,3,Piso,Fuencarral-El Pardo
f64d4ee7-0004-44a8-acdc-ef46c97159df,"40.609439, -3.782666",2019-09-21,2022-02-06,750578,515294,185,3,3,Dúplex,Fuencarral-El Pardo
cf263816-cc8e-452d-b5a2-89d1dc45be0f,"40.466004, -3.820582",2018-04-23,2021-09-14,362644,978728,51,3,2,Piso,Vicálvaro
83d391fa-abdc-4ea2-8866-6e10152e9a92,"40.597297, -3.584305",2018-09-19,2023-10-24,257025,176743,90,2,1,Ático,Villaverde
493cf574-849c-464e-a361-9fd1fe326d4d,"40.640796, -3.850387",2017-02-20,2021-03-06,913904,484678,52,1,2,Apartamento,Vicálvaro
35174255-37b7-492d-9881-903bf7a0b4aa,"40.326871, -3.694021",2017-05-18,2020-09-15,727832,454588,33,4,1,Piso,Salamanca
8da24832-e0ef-476b-a565-f6183050bebf,"40.592864, -3.570099",2017-12-20,2022-11-11,922577,123137,60,5,1,Apartamento,Moratalaz
c9c9dd7a-66a9-4a48-81ee-ce58275a4a19,"40.446297, -3.614684",2016-11-11,2020-02-11,722382,124406,55,3,1,Piso,Chamartín
48fadf14-c1e0-462f-b982-888af46cff76,"40.3985, -3.770319",2015-11-26,2024-08-18,844774,845529,118,1,2,Dúplex,Chamartín
